txn_id,txn_date,department,category,vendor,amount,status
TXN-5001,7/13/2024,Engineering,Software Licenses,GitHub,68120.38,Approved
TXN-5002,2024-09-03,Sales,Commissions,Internal Payroll,87798.02,Approved
TXN-5003,28-07-2024,Finance,Banking Fees,BDO,35688.28,Approved
TXN-5004,2024-09-22,Marketing,Software,Canva Pro,75458.98,Approved
TXN-5005,2024-09-03,HR,Training,TrainPH,57673.25,Approved
TXN-5006,2024-03-24,HR,Training,TrainPH,80594.76,Approved
TXN-5007,7/3/2024,HR,Recruitment,JobStreet,39937.6,Approved
TXN-5008,2024-01-21,Engineering,Contractors,Freelance Hub,140003.96,Approved
TXN-5009,2024-01-05,Finance,Banking Fees,UnionBank,70709.31,Approved
TXN-5010,2024-03-14,Engineering,Software Licenses,Figma,85223.76,Approved
TXN-5011,6/6/2024,Finance,Audit Fees,P&A Grant Thornton,2813.84,Approved
TXN-5012,7/13/2024,HR,Benefits,PhilHealth,14749.06,Approved
TXN-5013,8-08-2024,Operations,Utilities,Manila Water,65637.11,Approved
TXN-5014,4/13/2024,Operations,Maintenance,BuildFix Co,79779.45,Approved
TXN-5015,26-06-2024,HR,Training,Udemy Teams,53986.94,Approved
TXN-5016,7/22/2024,Finance,Taxes,,29727.19,Approved
TXN-5017,28-05-2024,Engineering,Software Licenses,Figma,71157.92,Approved
TXN-5018,22-06-2024,HR,Recruitment,JobStreet,62192.12,Approved
TXN-5019,3/17/2024,HR,Training,Udemy Teams,90834.92,Approved
TXN-5020,2024-05-07,Finance,Audit Fees,SGV & Co,60865.5,Approved
TXN-5021,6/18/2024,Finance,Accounting Software,QuickBooks,57236.43,Flagged
TXN-5022,8/11/2024,Engineering,Software Licenses,Jira,218037.71,Approved
TXN-5023,12-03-2024,Operations,Utilities,PLDT,43295.1,Approved
TXN-5024,8/19/2024,Finance,Taxes,BIR Payment,73571.79,Approved
TXN-5025,2024-08-03,Operations,Logistics,Lalamove,62214.77,Approved
TXN-5026,2024-03-05,Sales,Travel,Cebu Pacific,13011.48,Approved
TXN-5027,2024-08-02,Finance,Taxes,BIR Payment,60790.87,Approved
TXN-5028,18-02-2024,Engineering,Software Licenses,Figma,93591.14,Pending
TXN-5029,27-03-2024,Engineering,Software Licenses,Figma,28935.06,Approved
TXN-5030,20-04-2024,Sales,Client Entertainment,Makati Hotels,155995.91,Approved
TXN-5031,2024-02-05,HR,Recruitment,JobStreet,47713.08,Approved
TXN-5032,8/24/2024,Sales,Travel,Airbnb Biz,175833.98,Approved
TXN-5033,2024-01-19,HR,Recruitment,LinkedIn,114036.43,Approved
TXN-5034,2024-05-10,Marketing,Software,Canva Pro,145283.37,Approved
TXN-5035,22-06-2024,Operations,Logistics,J&T Express,73808.36,Approved
TXN-5036,2024-05-24,HR,Payroll Tools,Sprout HR,24201.94,Approved
TXN-5037,2024-03-27,Sales,Travel,Cebu Pacific,6837.87,Pending
TXN-5038,2-05-2024,Operations,Utilities,,69485.37,Approved
TXN-5039,3-08-2024,Engineering,Software Licenses,Jira,113189.17,Approved
TXN-5040,24-04-2024,Sales,Commissions,Internal Payroll,144800.94,Approved
TXN-5041,16-03-2024,Finance,Banking Fees,BDO,63385.78,Approved
TXN-5042,9/3/2024,Engineering,Software Licenses,Figma,62879.57,Approved
TXN-5043,2024-05-11,Sales,CRM Software,Zoho CRM,42683.22,Approved
TXN-5044,6/7/2024,Marketing,Content,,51939.64,Pending
TXN-5045,4/24/2024,Operations,Logistics,LBC,32977.5,Approved
TXN-5046,1/1/2024,Operations,Utilities,Meralco,507223.79,Flagged
TXN-5047,4/18/2024,Engineering,Cloud Services,AWS,15029.84,Approved
TXN-5048,21-02-2024,Marketing,Software,Adobe,120060.33,Approved
TXN-5049,7/25/2024,Sales,CRM Software,Zoho CRM,144142.59,Approved
TXN-5050,8-01-2024,Operations,Office Supplies,Lazada B2B,11914.77,Approved
TXN-5051,2024-08-17,Marketing,Content,Freelance Hub,140925.65,Approved
TXN-5052,2024-08-14,Operations,Utilities,Manila Water,63349.1,Pending
TXN-5053,3-04-2024,Sales,CRM Software,Zoho CRM,-11698.97,Approved
TXN-5054,28-03-2024,HR,Training,,106450.28,Approved
TXN-5055,6/7/2024,Engineering,Cloud Services,AWS,249345.13,Approved
TXN-5056,5/6/2024,Finance,Taxes,BIR Payment,24612.77,Approved
TXN-5057,2024-05-17,Operations,Office Supplies,,16772.68,Approved
TXN-5058,2024-02-09,HR,Payroll Tools,Sprout HR,107057.18,Approved
TXN-5059,9/10/2024,HR,Benefits,PhilHealth,33343.28,Approved
TXN-5060,2024-03-26,Sales,Client Entertainment,Resorts World,74881.85,Approved
TXN-5061,1/11/2024,Finance,Taxes,BIR Payment,-17517.88,Approved
TXN-5062,25-02-2024,Engineering,Equipment,Dell PH,35716.82,Approved
TXN-5063,4/3/2024,Sales,Travel,Cebu Pacific,10877.57,Approved
TXN-5064,2024-08-21,Operations,Maintenance,TechRepair,56639.35,Approved
TXN-5065,9/22/2024,Engineering,Software Licenses,Figma,134595.61,Approved
TXN-5066,2024-09-06,Finance,Accounting Software,QuickBooks,3198.32,Approved
TXN-5067,11-09-2024,Finance,Accounting Software,Xero,14628.12,Approved
TXN-5068,22-01-2024,Operations,Maintenance,BuildFix Co,58306.94,Approved
TXN-5069,9/18/2024,HR,Benefits,PhilHealth,78417.43,Pending
TXN-5070,6/5/2024,Marketing,Content,Freelance Hub,165835.63,Approved
TXN-5071,2024-05-09,HR,Training,Coursera B2B,81370.94,Flagged
TXN-5072,2024-01-18,Sales,CRM Software,Salesforce,53907.23,Approved
TXN-5073,7/3/2024,Operations,Logistics,J&T Express,22877.08,Approved
TXN-5074,2024-09-02,Engineering,Contractors,DevShop PH,231443.54,Approved
TXN-5075,25-06-2024,Finance,Audit Fees,SGV & Co,3096.71,Approved
TXN-5076,2024-09-25,HR,Payroll Tools,Sprout HR,29128.63,Approved
TXN-5077,5-03-2024,Sales,Commissions,Internal Payroll,167859.63,Approved
,,,,,,
TXN-5078,19-05-2024,Operations,Utilities,Manila Water,83116.78,Approved
TXN-5079,2024-04-22,HR,Benefits,Maxicare,63443.31,Approved
TXN-5080,2024-05-20,Operations,Maintenance,BuildFix Co,51439.11,Approved
TXN-5081,1/6/2024,Sales,Client Entertainment,Makati Hotels,55626.37,Approved
TXN-5082,1-03-2024,Engineering,Contractors,Freelance Hub,75185.56,Approved
TXN-5083,2024-06-19,Engineering,Cloud Services,Azure,104543.91,Approved
TXN-5084,9/4/2024,Finance,Taxes,BIR Payment,58439.84,Approved
TXN-5085,2/8/2024,Finance,Banking Fees,BPI,13439.36,Approved
TXN-5086,6-02-2024,Marketing,Ad Spend,Meta Ads,115341.48,Approved
TXN-5087,9/1/2024,Engineering,Contractors,TechStaff,219073.67,Approved
TXN-5088,3/16/2024,Sales,CRM Software,Salesforce,191282.69,Flagged
